watermark_method,project,language,seed_group,rng_seed,method_config,response_points,evaluated_points,parameter_runs,Pass,BE,TE,RE,Excluded,point_pooled_pass_rate,pass_strength_mean,pass_strength_median,pass_strength_q1,pass_strength_q3,pass_strength_iqr,run_balanced_pass_rate,run_balanced_mean_pass_strength,runs_with_pass
ewd,flappy_bird,cpp,,95729506,flappy_bird_game_ewd_T=0.7_rngS=95729506_gamma=0.5_hashKey=47646761_prefixLen=1,17,17,1,0,17,0,0,0,0.0,,,,,,0.0,,0
ewd,flappy_bird,cpp,,95729506,flappy_bird_game_ewd_T=0.7_rngS=95729506_gamma=0.5_hashKey=83782121_prefixLen=1,19,19,1,2,17,0,0,0,0.105263,0.5,0.5,0.45,0.55,0.1,0.105263,0.5,1
ewd,flappy_bird,java,,1385953100,flappy_bird_game_ewd_T=0.7_rngS=1385953100_gamma=0.5_hashKey=15485863_prefixLen=1,37,37,1,20,11,3,3,0,0.540541,2.295,2.25,1.575,3.025,1.45,0.540541,2.295,1
ewd,flappy_bird,java,,1385953100,flappy_bird_game_ewd_T=0.7_rngS=1385953100_gamma=0.5_hashKey=15485917_prefixLen=1,34,34,1,0,33,1,0,0,0.0,,,,,,0.0,,0
ewd,flappy_bird,java,,1385953100,flappy_bird_game_ewd_T=0.7_rngS=1385953100_gamma=0.5_hashKey=23873851_prefixLen=1,34,34,1,4,28,2,0,0,0.117647,0.95,0.65,0.45,1.15,0.7,0.117647,0.95,1
ewd,flappy_bird,java,,1385953100,flappy_bird_game_ewd_T=0.7_rngS=1385953100_gamma=0.5_hashKey=36728353_prefixLen=1,31,31,1,3,25,1,2,0,0.096774,2.566667,2.6,2.35,2.8,0.45,0.096774,2.566667,1
ewd,flappy_bird,java,,1385953100,flappy_bird_game_ewd_T=0.7_rngS=1385953100_gamma=0.5_hashKey=47646761_prefixLen=1,33,33,1,1,30,0,2,0,0.030303,0.2,0.2,0.2,0.2,0.0,0.030303,0.2,1
ewd,flappy_bird,java,,1385953100,flappy_bird_game_ewd_T=0.7_rngS=1385953100_gamma=0.5_hashKey=83782121_prefixLen=1,42,42,1,1,40,1,0,0,0.02381,3.3,3.3,3.3,3.3,0.0,0.02381,3.3,1
ewd,flappy_bird,python,,1716196616,flappy_bird_game_ewd_T=0.7_rngS=1716196616_gamma=0.5_hashKey=15485863_prefixLen=1,37,37,1,0,0,37,0,0,0.0,,,,,,0.0,,0
ewd,flappy_bird,python,,1716196616,flappy_bird_game_ewd_T=0.7_rngS=1716196616_gamma=0.5_hashKey=15485917_prefixLen=1,43,43,1,3,0,40,0,0,0.069767,2.233333,3.2,1.65,3.3,1.65,0.069767,2.233333,1
ewd,flappy_bird,python,,1716196616,flappy_bird_game_ewd_T=0.7_rngS=1716196616_gamma=0.5_hashKey=23873851_prefixLen=1,41,41,1,0,0,41,0,0,0.0,,,,,,0.0,,0
ewd,flappy_bird,python,,1716196616,flappy_bird_game_ewd_T=0.7_rngS=1716196616_gamma=0.5_hashKey=36728353_prefixLen=1,44,44,1,0,0,44,0,0,0.0,,,,,,0.0,,0
ewd,flappy_bird,python,,1716196616,flappy_bird_game_ewd_T=0.7_rngS=1716196616_gamma=0.5_hashKey=47646761_prefixLen=1,39,39,1,1,0,38,0,0,0.025641,2.3,2.3,2.3,2.3,0.0,0.025641,2.3,1
