paradigm,method,dataset_or_workload,sample_or_seed,repeat,input_or_prompt_tokens,generated_or_watermarked_tokens,extraction_reference_tokens,baseline_generated_tokens,input_internal_tokens,watermarked_internal_tokens,input_model_tokens,watermarked_model_tokens,input_truncated,watermarked_truncated,input_sha256,output_sha256,baseline_output_sha256,tokenizer_identifier,pair_order
semantic-preserving,CodeMark,csn_js,test#601,0,36,46,46,,42,47,42,47,False,False,40f224057b73ebe24213c627e261fa1b973f239eb35dbbc2154c1bb0ae9bd799,75f5012d6e3b9e88bdf3777737bb2cc74ce0bf7ce447fcbb3a76a0108aa7e929,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#602,0,271,241,241,,277,277,277,277,False,False,ac7125c71ce88b658ed1f1224876f18378622594f0d80f99d73ed715af04f2cf,eac4265765e730c312ba05b16a56d277643afe7129ff998df6c54e8f2d7ccc3f,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#603,0,81,93,93,,77,97,77,97,False,False,d232cf712453978b19f729c9652d36de9c12b00e27b07472c29a45a3c9670290,27f881038b9a23b428d6de3ef06e1f444008172bb682a7a782cf95179601e7fd,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#604,0,41,44,44,,44,44,44,44,False,False,3a17e724b9662a0673a68f80963cf5f7a7bfde4cbabc4d2711b3d37266541543,c9188ba2f4325655a0ed3d5b4b3b7b1a90adab61485194c119a29116ceaccdc4,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#605,0,121,113,113,,120,126,120,126,False,False,ad93ac698f97b3c694a9eebe229b83c20c1c0dacd397102c5a336a60ef11d564,d80e35b64344a2406e30967ba06195a73e6f9b5079949dfa3423dbb98f52f2ee,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#606,0,56,53,53,,67,67,67,67,False,False,53c092a13dac30b7fff4dc7a8a9cec498be8ac3a52c96ede93f5c3e26c7f3cb2,38f87d19506343678b9657af644351b97bf074046ba541e1c3d5d41b1a868f7f,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#607,0,145,131,131,,139,147,139,147,False,False,aae3cdf4b1c286d7601c87c1cf49c6134506050abac04933fd382e8628ef7a11,40a4a2ad4c043d1f7024d88de751da176dea9b1d8d9161d14f6838a40155c360,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#608,0,99,91,91,,65,65,65,65,False,False,5454376cefd08d60e62550d095970950934dbb4369c90f4d56223d65926da1a5,7de923a0a9ba50e518c3989e8fafa31cbf9268c6507e527fcad13b3f18490fe5,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#609,0,216,222,222,,208,208,208,208,False,False,25ea64004048f6109bb16fcf301a620d3d4ca45814875241a11c0a14006856ad,edeba1688bd24a9e8f88bd1911af1aabd1bf22a60c073e3300dba57d408af67c,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#610,0,70,70,70,,81,83,81,83,False,False,5359f85b9551e6f4afd10b4ab11f4a647f79a446573f38bbe23d6dbaced29930,4ef5029e0fd8a351d2a3979bfdd0022f870e87793966dcb66d55ba906ced2c53,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#611,0,83,87,87,,84,89,84,89,False,False,e667c0cd1fbb57ea9c076398b64e9c6f68ae0bcf5065fb0d3d0b244670561c93,95c099305e78d9c0589f5ef2d0b27800e9ac33260dbf8fa61494c10c4efba822,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#612,0,41,37,37,,39,41,39,41,False,False,6090311cb4849d05baaa9a875f67f2aeec782962196dda4accf8e8ce22885221,744e54e08f734bf20a4010d90c0b7084a1f97bd2f02d34adf3f8e591cbe66587,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#613,0,57,49,49,,56,57,56,57,False,False,368989802763b648cd68e7063ff11b41161fced7efe9024e0f62843ef4c25ed9,f842d8659e4895ed86bcc73106e563fccfb70b626cb6a9b233590b337e395159,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#614,0,80,75,75,,76,96,76,96,False,False,eeb5c61390a6fc23b1185396f58ea9193743a0eff4384324438504565a42dae1,ef27166b89438313090abd7aeb7a0953c7f996fab23297270aee63d8ab642639,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
