paradigm,method,dataset_or_workload,sample_or_seed,repeat,embedding_seconds,baseline_generation_seconds,watermarked_generation_seconds,paired_generation_delta_seconds,extraction_seconds,embedding_reference_tokens,extraction_reference_tokens,embedding_ms_per_1k_tokens,baseline_generation_ms_per_1k_tokens,watermarked_generation_ms_per_1k_tokens,paired_generation_delta_ms_per_1k_tokens,extraction_ms_per_1k_tokens
semantic-preserving,SrcMarker,csn_js,test#2170,0,0.012266069651,,,,0.008441272192,150,162,81.773797671,,,,52.106618467
semantic-preserving,SrcMarker,csn_js,test#2171,0,0.007348968647,,,,0.004581683315,72,78,102.069008992,,,,58.739529684
semantic-preserving,SrcMarker,csn_js,test#2172,0,0.007894459181,,,,0.004589057527,93,81,84.886657855,,,,56.655031203
semantic-preserving,SrcMarker,csn_js,test#2173,0,0.005235938355,,,,0.003105988726,43,47,121.766008263,,,,66.084866511
semantic-preserving,SrcMarker,csn_js,test#2174,0,0.005694109946,,,,0.003042014316,41,41,138.880730402,,,,74.195471115
semantic-preserving,SrcMarker,csn_js,test#2175,0,0.011421564035,,,,0.006336667575,123,100,92.858244188,,,,63.366675749
semantic-preserving,SrcMarker,csn_js,test#2176,0,0.006501591764,,,,0.003840724938,83,73,78.332430896,,,,52.612670378
semantic-preserving,SrcMarker,csn_js,test#2177,0,0.006633375771,,,,0.003975016065,83,75,79.920190016,,,,53.000214199
semantic-preserving,SrcMarker,csn_js,test#2178,0,0.007704409771,,,,0.004540850408,105,82,73.375331149,,,,55.376224492
semantic-preserving,SrcMarker,csn_js,test#2179,0,0.007799974643,,,,0.004729744978,108,93,72.221987432,,,,50.857472884
semantic-preserving,SrcMarker,csn_js,test#2180,0,0.004872924648,,,,0.002834659070,44,51,110.748287460,,,,55.581550388
semantic-preserving,SrcMarker,csn_js,test#2181,0,0.007169215940,,,,0.004365124740,76,80,94.331788683,,,,54.564059246
semantic-preserving,SrcMarker,csn_js,test#2182,0,0.005280865356,,,,0.002779033966,44,46,120.019667189,,,,60.413781877
semantic-preserving,SrcMarker,csn_js,test#2183,0,0.006737533025,,,,0.003864890896,77,78,87.500428902,,,,49.549883279
semantic-preserving,SrcMarker,csn_js,test#2184,0,0.011092456058,,,,0.007049132138,156,149,71.105487549,,,,47.309611668
semantic-preserving,SrcMarker,csn_js,test#2185,0,0.009087448940,,,,0.006287974305,107,107,84.929429343,,,,58.766115004
semantic-preserving,SrcMarker,csn_js,test#2186,0,0.015341719612,,,,0.009432812221,212,197,72.366601946,,,,47.882295540
semantic-preserving,SrcMarker,csn_js,test#2187,0,0.012008120306,,,,0.008234969340,120,140,100.067669215,,,,58.821209573
semantic-preserving,SrcMarker,csn_js,test#2188,0,0.014280843548,,,,0.009392936714,141,165,101.282578358,,,,56.926889176
semantic-preserving,SrcMarker,csn_js,test#2189,0,0.007997925393,,,,0.004404606298,83,71,96.360546907,,,,62.036708417
semantic-preserving,SrcMarker,csn_js,test#2190,0,0.006737685762,,,,0.003635551780,71,62,94.896982568,,,,58.637931943
semantic-preserving,SrcMarker,csn_js,test#2191,0,0.006850419566,,,,0.003956568427,71,70,96.484782620,,,,56.522406105
semantic-preserving,SrcMarker,csn_js,test#2192,0,0.008267173544,,,,0.004920027219,87,89,95.024983259,,,,55.281204705
semantic-preserving,SrcMarker,csn_js,test#2193,0,0.006264940836,,,,0.003369688056,59,55,106.185437890,,,,61.267055571
semantic-preserving,SrcMarker,csn_js,test#2194,0,0.024206006899,,,,0.015135381371,286,291,84.636387760,,,,52.011619831
semantic-preserving,SrcMarker,csn_js,test#2195,0,0.008090175688,,,,0.004658080637,90,96,89.890840981,,,,48.521673307
semantic-preserving,SrcMarker,csn_js,test#2196,0,0.007039110176,,,,0.004042139277,58,60,121.363968556,,,,67.368987948
semantic-preserving,SrcMarker,csn_js,test#2197,0,0.015599918552,,,,0.010902956128,179,202,87.150382971,,,,53.975030337
semantic-preserving,SrcMarker,csn_js,test#2198,0,0.007057527080,,,,0.004217524081,62,64,113.831081938,,,,65.898813773
semantic-preserving,SrcMarker,csn_js,test#2199,0,0.012496478856,,,,0.007603094913,177,173,70.601575455,,,,43.948525509
semantic-preserving,SrcMarker,csn_js,test#2200,0,0.008242340758,,,,0.004447466694,78,76,105.671035365,,,,58.519298603
semantic-preserving,SrcMarker,csn_js,test#2201,0,0.012443984859,,,,0.007415055297,167,154,74.514879393,,,,48.149709723
semantic-preserving,SrcMarker,csn_js,test#2202,0,0.010543223470,,,,0.006812210195,138,131,76.400170076,,,,52.001604540
semantic-preserving,SrcMarker,csn_js,test#2203,0,0.015634399839,,,,0.008961383253,170,162,91.967057875,,,,55.317180576
semantic-preserving,SrcMarker,csn_js,test#2204,0,0.010132354684,,,,0.006670456380,133,123,76.183117926,,,,54.231352680
semantic-preserving,SrcMarker,csn_js,test#2205,0,0.010985297151,,,,0.005689321086,105,97,104.621877628,,,,58.652794699
semantic-preserving,SrcMarker,csn_js,test#2206,0,0.013620856218,,,,0.007636159658,141,131,96.601817149,,,,58.291295103
semantic-preserving,SrcMarker,csn_js,test#2207,0,0.006127549335,,,,0.003727735020,43,45,142.501147334,,,,82.838556005
semantic-preserving,SrcMarker,csn_js,test#2208,0,0.017344254069,,,,0.009504205547,215,194,80.670949158,,,,48.990750244
semantic-preserving,SrcMarker,csn_js,test#2209,0,0.013742538169,,,,0.008869788609,160,163,85.890863556,,,,54.415881040
semantic-preserving,SrcMarker,csn_js,test#2210,0,0.029212939553,,,,0.019171171822,326,340,89.610244027,,,,56.385799475
semantic-preserving,SrcMarker,csn_js,test#2211,0,0.018051598221,,,,0.012729486451,246,263,73.380480573,,,,48.401089166
semantic-preserving,SrcMarker,csn_js,test#2212,0,0.010405328125,,,,0.005920558237,113,111,92.082549777,,,,53.338362491
semantic-preserving,SrcMarker,csn_js,test#2213,0,0.004560701549,,,,0.002736424096,26,31,175.411598041,,,,88.271745030
semantic-preserving,SrcMarker,csn_js,test#2214,0,0.019355573691,,,,0.012567424215,235,233,82.364143368,,,,53.937442984
semantic-preserving,SrcMarker,csn_js,test#2215,0,0.007358625531,,,,0.005086037330,91,95,80.864016826,,,,53.537235056
semantic-preserving,SrcMarker,csn_js,test#2216,0,0.010973080993,,,,0.006281697191,118,115,92.992211803,,,,54.623453837
semantic-preserving,SrcMarker,csn_js,test#2217,0,0.013143607415,,,,0.007114922628,180,166,73.020041196,,,,42.860979686
